"","Estimate","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",10.728,10.029,11.327,1.001,2648.178,2544.165
"storm_freq_scaled",-0.519,-1.748,0.764,1.003,1835.652,2178.522
"map_reanalysis_scaled",0.079,-1.65,1.712,1.005,1606.592,2038.868
"mean_temp_scaled",1.292,0.268,2.222,1.003,2104.263,2382.973
"storm_freq_scaled:map_reanalysis_scaled",0.204,-0.312,0.791,1.001,2560.192,2305.306
