"","Estimate","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.206,0.081,0.361,1.008,846.961,1263.54
"storm_freq_scaled",-0.536,-0.677,-0.408,1.007,933.615,1730.386
"map_reanalysis_scaled",0.74,0.554,0.949,1.007,885.515,1600.587
"storm_freq_scaled:map_reanalysis_scaled",0.075,-0.074,0.21,1.008,905.457,1595.232
