"","Estimate","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",4.092,3.645,4.522,1.002,2611.964,2313.906
"storm_freq_scaled",0.935,-0.016,1.969,1.003,1682.105,1816.349
"map_reanalysis_scaled",-0.973,-1.968,0.115,1.002,1547.625,1921.132
"mean_temp_scaled",0.63,0.042,1.274,1.001,1829.291,2393.452
"storm_freq_scaled:map_reanalysis_scaled",0.877,0.437,1.242,1.002,2019.938,2106.017
