"","latlon","lat","lon","site_name","id","map","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","mean_temp","median_temp","sd_temp","mean_storm_size_fy","median_storm_size_fy","sd_storm_size_fy","storm_freq_fy","map_reanalysis_fy"
"1","44.467-73.2",44.467,-73.2,"USA_Vt_Burlington_1",11,866,10.1080341718626,7.26194257355845,8.62216820917412,8.51570247933885,512.641246031984,16.8048134526865,17.3511532870206,4.95757013717178,8.88428984498757,6.31137947906444,7.53835377676527,8.01202457995631,996.50875817218
"2","40.05-111.783",40.05,-111.783,"USA_Ut_Wasatch_1",16,393,9.86354207127121,7.0604233516232,8.35720718964805,2.89790957705396,190.701584364337,16.5041291321721,17.0456096302379,5.41474148237856,7.37853992685309,5.42877617350314,6.05747563461863,4.31363330134945,458.74471965314
"3","35.967-79.133",35.967,-79.133,"USA_Nc_Piedmont",18,1162,9.70494859509733,6.71293884801509,9.14969162438569,9.77363274176023,857.555163868605,19.180932371809,20.5211816961115,6.29208220950642,10.1758707969306,7.01741776905361,9.39642812413579,9.11790212931017,1215.46666252298
"4","40.8-111.767",40.8,-111.767,"USA_Ut_RedButte_6",22,667,11.589699110022,8.06173567707777,9.80175158161618,2.49834107498341,131.231747996077,16.3247656748164,16.8131292169744,4.28896148016563,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"5","40.75-111.6",40.75,-111.6,"USA_Ut_Cottonwood",24,747,11.7571531566446,8.23365072518672,9.87569736698043,2.42937062937063,121.856528897225,16.565912033828,17.0944501009854,4.18644233103273,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"6","40.604-111.582",40.604,-111.582,"USA_Ut_Brighton",34,956,12.5430873413945,9.77868595001796,9.43643196804159,2.05965909090909,75.926990957716,18.0237520853679,18.335823059082,3.31957437562695,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"7","44.5-73.117",44.5,-73.117,"USA_Vt_Essex_1",50,891,9.80569384748622,7.07191408506002,8.3559903379747,8.33884297520661,486.885116458765,16.7827466442434,17.2994345925071,5.03311173529714,8.36079124022923,6.02378110142044,7.08348824283103,7.81200008166099,929.693181766967
"8","44.317-72.75",44.317,-72.75,"USA_Vt_Duxbury",57,991,10.3701123406616,7.43702695831995,8.82317561147466,9.075,539.790766827978,13.9805803524364,14.4706652554599,4.67565249302532,9.24058599133838,6.64973431563174,7.84064529682775,8.76846252781577,1117.1811384478
"9","65.1-146.767",65.1,-146.767,"USA_Ak_Bonanza",62,299,9.11061483260506,6.56290572062558,7.14197839243385,6.38111888111888,164.725947675915,12.322172870058,12.3853299227628,3.32958267941083,6.92051630311343,4.87047598485581,5.76545585007119,3.4019496560031,401.173223384743
"10","-42.751171.058",-42.751,171.058,"NZ_Sisland_1",76,3171,18.4015623581506,12.0132498020857,18.2451794055561,16.8247360350493,2633.91183758896,11.4619985448854,11.5553864912553,2.89098472368996,18.4678007468539,12.128489265557,18.2894465010445,16.2473592879162,3740.04578127115
"11","-22.047166.469",-22.047,166.469,"",77,NA,11.8329638368063,6.66793059970422,14.7832536456288,7.61253904415818,1237.26403929825,21.1125974693616,21.201650723544,2.55165637802722,11.8329638368063,6.66793059970422,14.7832536456288,7.61253904415818,1237.26403929825
"12","-22.166166.534",-22.166,166.534,"",78,NA,15.8160424275659,8.26441393191503,21.2370503348944,11.0004123879713,2240.46559852865,21.5880576336254,21.6264326615767,2.42550160844787,15.8160424275659,8.26441393191503,21.2370503348944,11.0004123879713,2240.46559852865
"13","-16.5561111111111145.274944444444",-16.5561111111111,145.274944444444,"",79,NA,14.6495893427409,8.36674483540595,17.675880179306,6.15195884286385,1195.68911299648,22.3193191166448,22.7291299993341,2.85552959662402,14.6495893427409,8.36674483540595,17.675880179306,6.15195884286385,1195.68911299648
"14","35.203-82.242",35.203,-82.242,"USA_Nc_1",80,1394,10.30592142941,7.25522052676586,9.680633861792,11.1114008941878,1004.72854898424,18.6711204130852,19.9878907637162,5.74019395265978,11.2716553123016,7.69865945198531,10.8179944028696,10.3297470551007,1512.18351248546
"15","-16.82145.645",-16.82,145.645,"AU_Qld_3",83,1749,16.7408767705993,8.76598763300783,22.4975439957379,9.17475654819019,1969.4875057689,23.5502616686726,23.9709483753551,2.50004911440995,16.7408767705993,8.76598763300783,22.4975439957379,9.17475654819019,1969.4875057689
"16","10.319-84.794",10.319,-84.794,"CR_Puntarenas",84,2899,11.9158354516796,8.33922180908055,11.3054905997344,18.3595512728906,2760.8663352391,25.104912562791,25.0141537753018,1.19057856181155,11.9158354516796,8.33922180908055,11.3054905997344,18.3595512728906,2760.8663352391
"17","10.025-84.125",10.025,-84.125,"CR_Heredia",85,3131,13.4498165843804,9.33249619419009,12.7412276319085,20.8751893514076,3519.82084975608,22.9349686724286,22.9035569624467,1.01183637477551,13.4498165843804,9.33249619419009,12.7412276319085,20.8751893514076,3519.82084975608
"18","35.012135.768",35.012,135.768,"JP_Kyoto_1",87,1720,14.1752484991764,9.24325486549854,14.5038608935906,10.7434670592565,1322.31561724498,17.5390436626683,18.0019448020241,6.42191038595219,13.137899465256,8.37945546436293,13.6297428923382,10.6136292183002,1809.57649566236
"19","34.673-83.354",34.673,-83.354,"USA_Ga",89,1507,11.3818729252374,7.73846935491416,11.1210224552417,11.223044397463,1162.53141270561,18.6983261893382,20.1251975319602,6.02681679077342,12.6034479816027,8.31376254685562,12.5384516629369,10.6986383030847,1724.57017247134
