"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","sd_map","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","a_m","mean_temp"
"16","Fabaceae","Hymenaea","martiana","Hymenaea martiana",-2.8,NA,NA,2.94,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.02961941718116,1.07840958135059,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"17","Nyctaginaceae","Guapira","noxia","Guapira noxia",NA,NA,NA,2.56,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,0.940007258491471,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"18","Meliaceae","Guarea","guidonia","Guarea guidonia",NA,NA,NA,7.7,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,2.04122032885964,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"19","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum",-3.6,-3.09,-5.23,NA,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.28093384546206,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,18.7,21.8795418364382
"20","Melastomataceae","Miconia","cuspidata","Miconia cuspidata",-3.4,NA,NA,5.37,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.22377543162212,1.68082790852077,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"21","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora",NA,NA,NA,2.22,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,0.797507195884188,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"22","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora",NA,NA,NA,0.99,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,-0.0100503358535015,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"23","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,NA,1.56,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,0.444685821261446,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"24","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense",-1.48,-0.46,-4.02,2.67,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.392042087776024,0.982078472412158,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"25","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum",NA,NA,NA,0.41,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,-0.891598119283784,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"26","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens",NA,NA,NA,4.33,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.4655675420144,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
