"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","sd_map","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","a_m","mean_temp"
"263","Anacardiaceae","Rhus","undulata","Rhus undulata",-1.688808676,-0.318472519,-5.090349505,0.792560149,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"DES","SA_Jonaskop_4",315,13,11,14,22,35,45,44,51,28,21,17,14,668,0.0448778088625486,-0.524023354914429,-0.232486878318995,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"264","Asteraceae","Pteronia","paniculata","Pteronia paniculata",-7.532550772,-1.678518903,-20.33128588,0.210148663,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"DES","SA_Jonaskop_4",315,13,11,14,22,35,45,44,51,28,21,17,14,668,0.0448778088625486,-2.01923373239124,-1.55994007967354,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"265","Proteaceae","Protea","repens","Protea repens",-3.814472499,-2.243128543,-5.4191737,0.858344476,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_2",410,15,15,16,29,59,55,55,62,36,27,22,18,668,0.0454215895528227,-1.33880238492719,-0.1527497728891,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"266","Fabaceae","Aspalathus","pachyloba","Aspalathus pachyloba",-4.124834259,-1.932284056,-6.811122458,0.860986627,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_2",410,15,15,16,29,59,55,55,62,36,27,22,18,668,0.0454215895528227,-1.41702583934306,-0.149676306614633,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"267","Thymelaeaceae","Passerina","obtusifolia","Passerina obtusifolia",NA,NA,NA,0.483,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"DES","SA_Jonaskop_6",668,27,24,30,47,74,95,93,109,59,45,36,29,668,0.0449162277425089,NA,-0.727738625329564,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"268","Proteaceae","Leucadendron","laureolum","Leucadendron laureolum",NA,NA,NA,1.637,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_2",410,15,15,16,29,59,55,55,62,36,27,22,18,668,0.0454215895528227,NA,0.492865298388998,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"269","Bruniaceae","Brunia","noduliflora","Brunia noduliflora",NA,NA,NA,0.309,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_3",600,22,21,24,43,87,81,81,91,52,39,32,26,668,0.0459108618853669,NA,-1.17441400208439,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"270","Asteraceae","Pteronia","fasciculata","Pteronia fasciculata",-8.657547948,-2.011135813,-22.73378934,0.22918775,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"DES","SA_Jonaskop_4",315,13,11,14,22,35,45,44,51,28,21,17,14,668,0.0448778088625486,-2.15843153559848,-1.47321374234126,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"271","Fabaceae","Aspalathus","hirta","Aspalathus hirta",-3.091809455,-1.018618798,-6.443552012,0.879699689,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_1",703,26,25,28,50,102,95,95,107,61,46,37,31,668,0.0459353886038455,-1.12875650366456,-0.128174692253183,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"272","Rosaceae","Cliffortia","ruscifolia","Cliffortia ruscifolia",-4.285854251,-1.180999308,-10.05225328,1.243934259,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_2",410,15,15,16,29,59,55,55,62,36,27,22,18,668,0.0454215895528227,-1.45531989064023,0.218279146457542,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"273","Proteaceae","Leucadendron","salignum","Leucadendron salignum",-4.378079973,-3.008119065,-5.611503971,0.72,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"WDS","SA_Jonaskop_2",410,15,15,16,29,59,55,55,62,36,27,22,18,668,0.0454215895528227,-1.47661026595073,-0.328504066972036,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"274","Ebenaceae","Euclea","sp.","Euclea sp.",NA,NA,NA,1.286,"Jonaskop, Riviersonderend Mountain Range, Western Cape Province","South Africa",-33.935,19.521,NA,"DES","SA_Jonaskop_4",315,13,11,14,22,35,45,44,51,28,21,17,14,668,0.0448778088625486,NA,0.251536625815428,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,NA,17.591404179269
"275","Proteaceae","Brabejum","stellatifolium","Brabejum stellatifolium",-2.5,-1.21,-3.82,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.916290731874155,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"276","Proteaceae","Brabejum","stellatifolium","Brabejum stellatifolium",-2.48,-1.21,-3.621,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.908258560176891,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"277","Myrtaceae","Metrosideros","angustifolia","Metrosideros angustifolia",-2.09,-0.152,-5.607,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.73716406597672,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"278","Asteraceae","Brachylaena","nereifolia","Brachylaena nereifolia",-1.53,-0.888,-2.009,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.425267735404344,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"279","Myrsinaceae","Rapanea","melanophloeos","Rapanea melanophloeos",-1.96,-0.607,-3.026,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.672944473242426,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"280","Myrtaceae","Metrosideros","angustifolia","Metrosideros angustifolia",-1.76,NA,-5.14,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.56531380905006,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"281","Asteraceae","Brachylaena","nereifolia","Brachylaena nereifolia",-2.07,NA,-2.629,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.727548607277278,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"282","Myrtaceae","Metrosideros","angustifolia","Metrosideros angustifolia",-1.29,-0.292,-5.759,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.254642218373581,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"283","Proteaceae","Brabejum","stellatifolium","Brabejum stellatifolium",-2.3,-0.65,-3.364,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,0.0526827730327132,-0.832909122935104,NA,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,NA,16.7946529251638
"284","Myrtaceae","Eucalyptus","diversicolor","Eucalyptus diversicolor",-0.99,-0.23,-1.97,NA,"Pemberton-Manjimup, Western Australia","Australia",-34,116,NA,"TMS","AU_Wa_Pemberton",1200,24,25,33,76,159,211,214,170,114,91,58,26,953,0.0603446104617845,0.0100503358535015,NA,10.6815976344344,7.78846165429885,8.8039767604527,7.04734091419472,986.609077511486,NA,15.4328326074536
"285","Winteraceae","Drimys","purpurascens","Drimys purpurascens",-2.09,-1.54,-2.48,NA,"Macquarie U","Australia",-34.36,151.1,17,"TMR","AU_Nsw_Macquarie",1140,114,134,146,109,89,116,52,71,49,86,95,80,1485,0.0264522203312696,-0.73716406597672,NA,12.7375220366613,7.25294368563813,15.1393145757526,7.39322009676827,1254.38146793965,NA,16.6115712170011
"286","Podocarpaceae","Phyllocladus","trichomanoides","Phyllocladus trichomanoides",-7.02,NA,NA,0.693,"Waitakere, North I.","New Zealand",-34.427,175.727,15.1,"TMR","NZ_Waitakere",1240,76,93,113,107,101,149,129,134,102,90,74,71,1738,0.0199568076079011,-1.94876321803772,-0.366725279792234,10.3341063251691,6.40064591631844,10.7924270610662,7.96647816589429,1124.32283276936,NA,17.4370955215763
"287","Podocarpaceae","Prumnopitys","ferruginea","Prumnopitys ferruginea",-5.58,NA,NA,0.478,"Waikatere, North I.","New Zealand",-34.427,175.727,15.1,"TMR","NZ_Waitakere",1240,76,93,113,107,101,149,129,134,102,90,74,71,1738,0.0199568076079011,-1.71918877639322,-0.738144546490681,10.3341063251691,6.40064591631844,10.7924270610662,7.96647816589429,1124.32283276936,NA,17.4370955215763
"288","Podocarpaceae","Dacrydium","cupressiformis","Dacrydium cupressiformis",-3.08,NA,NA,0.489,"Te Puke, North I.","New Zealand",-35.117,176.208,14.5,"TMR","NZ_Puke",1198,77,74,118,101,99,143,123,134,101,83,75,71,1986,0.0207858702114809,-1.12492959698548,-0.715392789507265,10.2272828162851,6.31545317830222,10.9242468108174,8.19343445685238,1146.88874160694,NA,16.984865121106
"289","Nothofagaceae","Nothofagus","dombeyi","Nothofagus dombeyi",-3.2,-1,-8,0.84,"Los Ruiles Reserve","Chile",-35.8333333333333,-72.5,15.3,"TMS","",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16315080980568,-0.174353387144778,17.5837475365274,11.8684769699625,17.2890370942067,1.90372094063947,272.913745427222,NA,14.9127237323025
"290","Nothofagaceae","Nothofagus","obliqua","Nothofagus obliqua",-4.5,-2.25,NA,0.723,"Los Ruiles Reserve","Chile",-35.8333333333333,-72.5,15.3,"TMS","",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50407739677627,-0.324346056823372,17.5837475365274,11.8684769699625,17.2890370942067,1.90372094063947,272.913745427222,NA,14.9127237323025
"291","Nothofagaceae","Nothofagus","alessandrii","Nothofagus alessandrii",-4.3,-1.95,-6.56,0.52,"Los Ruiles Reserve","Chile",-35.8333333333333,-72.5,15.3,"TMS","",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45861502269952,-0.653926467406664,17.5837475365274,11.8684769699625,17.2890370942067,1.90372094063947,272.913745427222,NA,14.9127237323025
"292","Nothofagaceae","Nothofagus","glauca","Nothofagus glauca",-3.2,-0.46,-7.89,0.804,"Los Ruiles Reserve","Chile",-35.8333333333333,-72.5,15.3,"TMS","",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16315080980568,-0.218156009803171,17.5837475365274,11.8684769699625,17.2890370942067,1.90372094063947,272.913745427222,NA,14.9127237323025
"293","Araucariaceae","Agathis","australis","Agathis australis",-2.58,NA,NA,0.91,"Waikano, North I., New Zealand","New Zealand",-37.427,175.72,14.5,"TMR","NZ_Waikano",1198,70,83,109,97,98,124,126,122,110,87,79,91,1971,0.0155322124379953,-0.947789398933526,-0.0943106794712413,12.860583705913,7.87448951561766,13.7250158192875,10.8081177428044,1526.86442642531,NA,14.1844454386708
"294","Podocarpaceae","Podocarpus","cunninghamii","Podocarpus cunninghamii",-6.61,NA,NA,0.72,"Wellington","New Zealand",-38.898,175.417,12.8,"TMR","NZ_Wellington",1249,91,75,82,82,114,116,122,110,120,108,108,122,1555,0.013642250247272,-1.8885836538636,-0.328504066972036,10.0027476530718,7.12649131024426,8.62249389692997,11.810253837843,1059.69310997255,NA,13.8768810920825
"295","Cupressaceae","Austrocedrus","chilensis","Austrocedrus chilensis",-2.19,-0.545,-3.93,4.34,"Melequina (Bariloche)","Argentina",-40.05,-71.167,NA,"TMS","AR_Melequina ",684,15,21,38,56,91,122,128,84,50,29,26,24,1433,0.058239806358635,-0.783901543828409,1.46787434811231,9.70919794309662,7.10206926853227,8.11525845719587,4.49787792233375,229.575480141293,NA,12.0152757508523
"296","Winteraceae","Pseudowintera","axillaris","Pseudowintera axillaris",-3.7,-2.7,-6.52,NA,"Wakamarama Range","New Zealand",-40.48,172.3,8,"TMR","NZ_Wakamarama",2400,171,123,177,197,209,217,224,217,215,235,221,193,2505,0.0128627397413303,-1.30833281965018,NA,9.9526249301514,6.80557686914902,9.10915378519903,10.0041871669763,1343.94777499413,NA,14.2079365505897
"297","Winteraceae","Pseudowintera","traversii","Pseudowintera traversii",-5.62,-4.35,-6.89,NA,"Wakamarama Range","New Zealand",-40.48,172.3,8,"TMR","NZ_Wakamarama",2400,171,123,177,197,209,217,224,217,215,235,221,193,2505,0.0128627397413303,-1.7263316639056,NA,9.9526249301514,6.80557686914902,9.10915378519903,10.0041871669763,1343.94777499413,NA,14.2079365505897
"298","Cupressaceae","Austrocedrus","chilensis","Austrocedrus chilensis",-2.13,-0.545,-3.93,7.79,"Alicura (Bariloche)","Argentina",-40.65,-71.017,NA,"TMS","AR_Alicura",400,11,12,23,29,58,74,68,49,29,17,16,15,921,0.0569634884391003,-0.756121979721334,2.05284085988266,8.10884237539219,5.919435455104,6.64357716313136,4.18900779974606,201.754600774283,NA,11.2105321419136
"299","Cupressaceae","Austrocedrus","chilensis","Austrocedrus chilensis",-2.07,-0.545,-3.93,7.2,"Llao Llao (Bariloche)","Argentina",-41.05,-71.533,NA,"TMS","AR_LlaoLlao",1500,48,61,101,125,95,99,291,257,160,103,87,75,1396,0.0503762276253821,-0.727548607277278,1.97408102602201,10.1850713292856,7.66688902671872,8.17804111619932,8.5037059303474,453.747441046088,NA,10.1521469826763
"300","Fabaceae","Aotus","ericoides","Aotus ericoides",NA,NA,NA,0.35,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-1.04982212449868,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,13.637,12.4467140220906
"301","Proteaceae","Banksia","marginata","Banksia marginata",NA,NA,NA,2.31,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,0.837247524533702,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,17.032,12.4467140220906
"302","Fabaceae","Bossiaea","cinerea","Bossiaea cinerea",NA,NA,NA,0.82,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-0.198450938723838,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,6.161,12.4467140220906
"303","Asteraceae","Cassinia","aculeata","Cassinia aculeata",NA,NA,NA,1,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,0,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,10.588,12.4467140220906
"304","Proteaceae","Persoonia","juniperina","Persoonia juniperina",NA,NA,NA,0.68,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-0.385662480811985,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,2.314,12.4467140220906
"305","Fabaceae","Pultenaea","juniperina","Pultenaea juniperina",NA,NA,NA,0.05,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-2.99573227355399,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,8.921,12.4467140220906
"306","Mimosaceae","Acacia","dealbata","Acacia dealbata",NA,NA,NA,2.14,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,0.76080582903376,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,11.65,12.4467140220906
"307","Myrtaceae","Eucalyptus","pauciflora","Eucalyptus pauciflora",NA,NA,NA,9.02,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,2.19944433407453,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,12.217,12.4467140220906
"308","Myrtaceae","Eucalyptus","rubida","Eucalyptus rubida",NA,NA,NA,5.56,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,1.71559810826249,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,12.276,12.4467140220906
"309","Fabaceae","Daviesia","latifolia","Daviesia latifolia",NA,NA,NA,1.16,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,0.148420005118273,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,10.956,12.4467140220906
"310","Epacridaceae","Epacris","impressa","Epacris impressa",NA,NA,NA,0.05,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-2.99573227355399,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,3.453,12.4467140220906
"311","Epacridaceae","Leucopogon","ericoides","Leucopogon ericoides",NA,NA,NA,0.39,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-0.941608539858445,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,8.812,12.4467140220906
"312","Epacridaceae","Leucopogon","virgatus","Leucopogon virgatus",NA,NA,NA,0.16,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,-1.83258146374831,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,6.44,12.4467140220906
"313","Myrtaceae","Eucalyptus","tenuiramis","Eucalyptus tenuiramis",NA,NA,NA,6.88,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,1.92861865194525,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,13.304,12.4467140220906
"314","Santalaceae","Exocarpos","cupressiformis","Exocarpos cupressiformis",NA,NA,NA,2.03,"Bothwell, Tasmania","Australia",-42.3876,147.0487,NA,"WDS","",573,37.7,38,37.2,46.3,41.6,43.1,44.4,48.8,46.5,52.8,51,50.6,NA,0.00948480369364748,NA,0.708035793053696,6.8397374090329,4.98174336633052,5.33458420706794,5.67924253223612,315.384057029064,4.477,12.4467140220906
"315","Winteraceae","Pseudowintera","colorata","Pseudowintera colorata",-4.3,-3.29,-5,NA,"West coast of S island","New Zealand",-42.52,171,10,"TMR","NZ_Sisland_2",3200,272,196,264,272,278,240,242,247,291,304,305,288,3063,0.00979319026266892,-1.45861502269952,NA,19.9220153232998,12.4829172496472,21.0380314637591,16.0129085517892,3099.86708601802,NA,11.7666197384438
"316","Chloranthaceae","Ascarina","lucida","Ascarina lucida",-1.869,-1.265,-2.82,NA,"South Island","New Zealand",-42.751,171.058,NA,"","NZ_Sisland_1",3171,278,208,263,263,274,235,236,238,279,298,308,291,3600,0.00940334550347353,-0.625403528473426,NA,18.4015623581506,12.0132498020857,18.2451794055561,16.8247360350493,2633.91183758896,NA,11.4619985448854
"317","Nothofagaceae","Nothofagus","pumilio","Nothofagus pumilio",-2.6,-0.72,-7,1.485,"La Hoya, Esquel","Argentina",-42.9,-71.3,7.2,"TMS","",900,30,11,22,32,99,117,94,70,32,24,26,34,NA,0.0397526725131989,-0.955511445027436,0.395414772254663,6.37005436040509,4.88801484435416,4.41769459597817,4.11025468441279,185.306667185575,NA,11.00235285274
"318","Proteaceae","Lomatia","tinctoria","Lomatia tinctoria",-4.971666667,-4.376428571,-5.566904762,NA,"Hobart","Tasmania",-42.905,147.325,NA,"TMS","AU_Tas_Hobart",671,44,45,46,56,56,51,63,64,57,66,61,62,880,0.0115868329787294,-1.60375512936565,NA,6.24992140881262,4.61470357735049,4.66009238896968,6.24453114453115,460.552270799954,NA,12.2241131047314
"319","Nothofagaceae","Nothofagus","antarctica","Nothofagus antarctica",-3,-1.31,NA,1.31,"Huemules Valley, Esquel","Argentina",-42.9166666666667,-71.4166666666667,9.6,"TMS","",1000,30,11,22,32,99,117,94,70,32,24,26,34,NA,0.035777405261879,-1.09861228866811,0.27002713721306,6.41402094553168,4.96098972931081,4.38586200099899,3.92104004840158,153.916893140133,NA,11.4400383475961
"320","Fabaceae","Aotus","ericoides","Aotus ericoides ",NA,NA,NA,1.3,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,0.262364264467491,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,10.57,12.8267872204536
"321","Proteaceae","Banksia","marginata","Banksia marginata",NA,NA,NA,3.12,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,1.13783300182139,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,12.362,12.8267872204536
"322","Myrtaceae","Eucalyptus","amygdalina","Eucalyptus amygdalina",NA,NA,NA,7.27,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,1.98375629154543,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,16.641,12.8267872204536
"323","Santalaceae","Exocarpos","cupressiformis","Exocarpos cupressiformis",NA,NA,NA,3.58,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,1.27536280041261,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,5.526,12.8267872204536
"324","Myrtaceae","Leptospermum","glaucescens","Leptospermum glaucescens",NA,NA,NA,5.01,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,1.61143591509677,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,7.106,12.8267872204536
"325","Epacridaceae","Epacris","lanuginosa","Epacris lanuginosa ",NA,NA,NA,0.53,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,-0.63487827243597,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,4.672,12.8267872204536
"326","Fabaceae","Oxylobium","ellipticum","Oxylobium ellipticum",NA,NA,NA,1.78,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,0.576613364303994,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,10.759,12.8267872204536
"327","Mimosaceae","Acacia","terminalis","Acacia terminalis",NA,NA,NA,0.43,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,-0.843970070294529,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,10.061,12.8267872204536
"328","Casuarinaceae","Allocasuarina","monilifera","Allocasuarina monilifera",NA,NA,NA,1.75,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,0.559615787935423,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,14.19,12.8267872204536
"329","Epacridaceae","Epacris","impressa","Epacris impressa",NA,NA,NA,0.38,"Longley, Tasmania","Australia",-42.9813,147.1903,NA,"WDS","",826,74.1,65.5,72.2,71.8,61.8,79.4,82.4,97.2,82.8,82.1,88,84,NA,0.0119372333425344,NA,-0.967584026261706,6.35229829721548,4.69327975911173,4.7671136755655,6.19475605672355,395.518565894668,4.154,12.8267872204536
