"","lat","lon","map_reanalysis","map_reanalysis","storm_freq","mean_temp"
"1",-15.933,-47.883,21.5400886953934,1568.73100351865,9.98622379192781,21.8795418364382
"40",-15.9333333333333,-47.8833333333333,20.7486741495609,1568.73100351865,9.98622379192781,21.8795418364382
"52",-16.083,145.4,93.7294714197644,2260.43632628258,9.67714104893534,22.380992950551
"53",-16.31,145.15,115.085711191422,2260.43632628258,9.67714104893534,22.380992950551
"54",-16.35,145.17,66.9135909798232,2260.43632628258,9.67714104893534,22.380992950551
"55",-16.533,145.583,0.738696531039304,1969.4875057689,9.17475654819019,23.5502616686726
"56",-16.541,-67.391,111.597176552436,1026.02082774248,10.4278770185575,14.2189800626427
"57",-16.5561111111111,145.274944444444,57.5238150420657,1195.68911299648,6.15195884286385,22.3193191166448
"58",-16.82,145.645,29.1238088688716,1969.4875057689,9.17475654819019,23.5502616686726
"59",-18.101,-64.456,17.0906893520229,683.022975885513,5.47198211624441,17.8047366688568
"60",-18.274,-64.158,15.9051159054723,683.022975885513,5.47198211624441,17.8047366688568
"61",-18.296,145.4927,32.1947245014341,844.730568893236,5.27086948533165,21.544519297069
"78",-18.4373,146.1287,7.86513674252594,2267.65782007477,9.63701692423902,23.347303805562
"94",-18.7105,141.8301,1.50479884672516,694.741385032449,4.01193475287345,26.9195549880692
"110",-19.183,145.75,7.31333972926996,675.52632889344,4.2008880632056,22.9456461349176
"114",-20.1,146.883,6.72623123969383,698.226944279433,4.01937815160362,23.0736392127474
"116",-20.45,44.817,13.1909446562677,806.152347756598,3.63346875446584,24.751101058097
"118",-21.182,165.292,118.870608288306,1809.36361598646,8.84006900353184,21.9435611208299
"119",-21.34,165.46,102.789851304946,1809.36361598646,8.84006900353184,21.9435611208299
"121",-21.37,165.5,80.7440506934417,1809.36361598646,8.84006900353184,21.9435611208299
"122",-22.033,166.467,133.796239499163,1237.26403929825,7.61253904415818,21.1125974693616
"123",-22.047,166.468,207.263928135183,1237.26403929825,7.61253904415818,21.1125974693616
"124",-22.047,166.469,206.702063434843,1237.26403929825,7.61253904415818,21.1125974693616
"125",-22.083,166.447,156.126814650797,1237.26403929825,7.61253904415818,21.1125974693616
"127",-22.0833333333333,166.433333333333,151.423917327904,1237.26403929825,7.61253904415818,21.1125974693616
"128",-22.1,166.5,168.997648142277,1237.26403929825,7.61253904415818,21.1125974693616
"129",-22.166,166.534,127.66508107757,2240.46559852865,11.0004123879713,21.5880576336254
"131",-22.583,165.917,7.52554995990955,893.897876739563,5.4882489843415,23.1678231437003
"134",-26.567,-54.333,43.7345304078356,1641.8313192504,11.0102790764143,20.222263108104
"136",-28.433,32.183,11.813702353548,1106.43873364132,7.13756405283466,21.5555656472304
"143",-29.2,152.07,38.9259315452826,761.598224681485,7.44199212101862,17.466001639922
"144",-29.25,152.124,53.2190778935006,730.236293441611,7.72505186721992,17.9634678392759
"145",-29.883,31,54.5284985453386,929.633508668036,7.74038748137109,19.0070526106745
"150",-30.067,-71.4,16.9540157807692,125.210529883127,0.599601902700937,13.3965265763773
"151",-31.4,116.317,11.3474568368192,626.290622212011,4.5145499458996,17.4875637305071
"155",-31.75,115.95,10.8783071824491,816.852535526866,5.40611232468408,18.0123977622173
"166",-32.317,117.867,7.22640100858143,373.902963236296,3.22199334462977,16.3937123066635
"187",-32.7797,150.9229,39.3064795120894,704.608265404789,5.66642982388532,16.9036407714025
"202",-32.9,115.69,9.42025840519919,1163.25457242804,6.71801237163914,17.261336278177
"207",-32.966,146.1679,4.0713293128203,360.66511475038,2.69830127678229,18.5242094811615
"223",-33.68,151.1479,38.1316780223314,1082.93198818114,7.01533389135006,17.3036173911993
"239",-33.935,19.521,51.9489029624019,188.371571272362,2.27998596121786,17.591404179269
"275",-33.95,18.917,100.020040383317,852.883313421292,5.35603576751118,16.7946529251638
"284",-34,116,26.8359713420507,986.609077511486,7.04734091419472,15.4328326074536
"285",-34.36,151.1,4.49534173767508,1254.38146793965,7.39322009676827,16.6115712170011
"286",-34.427,175.727,8.4121485953749,1124.32283276936,7.96647816589429,17.4370955215763
"288",-35.117,176.208,3.88906176047847,1146.88874160694,8.19343445685238,16.984865121106
"289",-35.8333333333333,-72.5,81.2592805841186,272.913745427222,1.90372094063947,14.9127237323025
"293",-37.427,175.72,101.436132459078,1526.86442642531,10.8081177428044,14.1844454386708
"294",-38.898,175.417,31.1367799211735,1059.69310997255,11.810253837843,13.8768810920825
"295",-40.05,-71.167,56.1505088135239,229.575480141293,4.49787792233375,12.0152757508523
"296",-40.48,172.3,2.39248139704521,1343.94777499413,10.0041871669763,14.2079365505897
"298",-40.65,-71.017,53.1207498255039,201.754600774283,4.18900779974606,11.2105321419136
"299",-41.05,-71.533,32.9220786911977,453.747441046088,8.5037059303474,10.1521469826763
"300",-42.3876,147.0487,23.274654140184,315.384057029064,5.67924253223612,12.4467140220906
"315",-42.52,171,4.28165387536765,3099.86708601802,16.0129085517892,11.7666197384438
"316",-42.751,171.058,67.3715875317621,2633.91183758896,16.8247360350493,11.4619985448854
"317",-42.9,-71.3,28.5153788298856,185.306667185575,4.11025468441279,11.00235285274
"318",-42.905,147.325,64.9473918743676,460.552270799954,6.24453114453115,12.2241131047314
"319",-42.9166666666667,-71.4166666666667,13.5783781463207,153.916893140133,3.92104004840158,11.4400383475961
"320",-42.9813,147.1903,34.5202360505837,395.518565894668,6.19475605672355,12.8267872204536
"336",-43.1166666666667,-71.55,34.4219070876354,564.8224362759,10.8787555423674,10.219751560867
